Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2022-01-03,337.2517395019531,339.7820519802337,335.9068706673779,337.0126321170958,14537900
2022-01-04,335.2493896484375,341.78442422363474,330.60711885787356,338.6563887819363,15998000
2022-01-05,322.9364318847656,334.48232418781873,322.60767062665843,331.75273018382796,20564500
2022-01-06,331.19482421875,337.8793113897067,321.4918992458904,321.5915247789649,27962800
2022-01-07,330.52740478515625,335.7175699807627,327.628474939226,331.4737713854809,14722000
2022-01-10,326.8215637207031,327.09052531324653,314.2296496150884,324.0720569466976,24942400
2022-01-11,333.09759521484375,333.35661554838686,324.04218963157086,325.5364815839548,16226800
2022-01-12,331.9917907714844,335.0899410922038,328.7740715728419,333.90446719804305,14104900
2022-01-13,325.23760986328125,334.3527839781241,324.520348566295,333.7052635964639,14797100
2022-01-14,330.6369934082031,331.4638519803939,319.987670323686,320.5654802370274,16868500
2022-01-18,316.9393005371094,322.97623727865846,316.43126197270504,322.05975528700424,22645600
2022-01-19,318.37384033203125,325.85527178298685,318.1148199979957,318.3638686571998,20814700
2022-01-20,315.3553771972656,326.5725387283157,314.77759767465767,322.66744230850446,16925000
2022-01-21,302.01629638671875,317.0986651304395,301.8867862390122,313.6119844214798,28710700
2022-01-24,307.53521728515625,308.35210412914984,287.9102024910978,296.7065871702178,38878100
2022-01-25,299.0078125,305.0646928830254,296.44758500124937,298.8085918146114,25108500
2022-01-26,293.5088195800781,306.339810879975,289.74320521175594,305.8417135804538,28348800
2022-01-27,293.518798828125,300.56187171998573,293.14024000648965,296.6169495183932,21629900
2022-01-28,300.5618896484375,300.75116907054564,291.9149270861922,294.4950676700179,21871600
2022-01-31,312.06793212890625,312.59591405423964,298.18097688359325,299.53578695560094,21579500
2022-02-01,317.78607177734375,318.4435638498842,310.93224818637844,313.362965399487,18023800
2022-02-02,321.7708435058594,326.7518163155476,315.66416597695036,326.5725085907457,58458300
2022-02-03,236.855224609375,247.05626287115405,234.85287891884906,243.7190048528874,188119900
2022-02-04,236.18777465820312,241.68677312019753,229.2343405889659,234.07584696513769,89342200
2022-02-07,224.05413818359375,237.3931836892515,223.15755389495055,236.79546083015603,88613800
2022-02-08,219.3421173095703,224.91085661462728,215.32745433196004,220.00958106083633,94729700
2022-02-09,231.1171417236328,232.4819234290626,221.36440350904414,223.34682098760746,86563300
2022-02-10,227.20211791992188,234.10573945078264,225.83732093216344,227.40135380696927,49310400
2022-02-11,218.7145233154297,229.5431535474969,217.93749275824806,227.59062068099234,46156900
2022-02-14,216.87156677246094,220.15901207434936,213.96268029221702,218.4754407263709,38184000
2022-02-15,220.15899658203125,220.3084196849427,214.24159849517687,219.63101468411404,42685500
2022-02-16,215.71597290039062,216.63248531287095,211.5518867512737,211.60169952162727,45817500
2022-02-17,206.9196014404297,216.67234056417186,206.37169133219152,213.20558737134795,38747500
2022-02-18,205.37547302246094,209.94800237985592,204.39919141444244,208.59317717758452,37128400
2022-02-22,201.31100463867188,206.6904493461833,199.2986873099958,201.57000975989826,39852400
2022-02-23,197.69480895996094,206.15250631370714,197.29633721308934,203.38308663099806,44481400
2022-02-24,206.80999755859375,207.5571434815645,189.49613117272023,190.332930958274,49957200
2022-02-25,209.6790313720703,210.51584637353537,202.4068078830166,204.16012007587383,37627600
2022-02-28,210.22694396972656,212.33887164491543,206.04292971479327,206.88968599931562,34239800
2022-03-01,202.71563720703125,210.94419882961213,201.450465855133,209.07134818592553,27094900
2022-03-02,207.3180694580078,208.35410520688097,201.25124768070287,204.00073944560498,29452100
2022-03-03,202.19760131835938,208.28435039475826,200.6534967846023,208.22458115615328,27263500
2022-03-04,199.29867553710938,205.10649147976338,198.03350422591907,201.59988247272807,32130900
2022-03-07,186.75660705566406,200.12553706263026,186.5673276453143,200.0259115201124,38560600
2022-03-08,189.56585693359375,195.9514677382991,185.40177095157821,187.13515496554908,37508100
2022-03-09,197.74464416503906,198.34236705388815,193.1820707022827,194.99515231792705,31894700
2022-03-10,194.4671630859375,195.53308345032522,190.3429178690285,194.09856073127446,24853000
2022-03-11,186.8960723876953,192.82342730868817,185.95964701718134,191.9069300866831,34694500
2022-03-14,185.9197998046875,191.55824958934522,185.11288462494136,186.31827155741647,31010500
2022-03-15,191.2992401123047,191.54828875226767,185.20253427024224,190.07392505988918,31721700
2022-03-16,202.8551025390625,202.9547128743451,193.77976951529075,193.959077239233,40640300
2022-03-17,207.04910278320312,207.24833868304216,200.34471670894433,200.9324679337232,29499700
2022-03-18,215.66616821289062,215.9749860978778,205.21608168769856,205.91341484746366,52128000
2022-03-21,210.68519592285156,213.89294366711832,206.83988425926785,213.68373611826487,30142300
2022-03-22,215.8255615234375,218.62488121550024,209.3801810209909,210.56565506837757,31998800
2022-03-23,212.647705078125,215.97499137945934,211.35264906362102,212.51819491645765,23717300
2022-03-24,218.73446655273438,219.83027154707898,213.9726421420286,214.181849706805,31502300
2022-03-25,220.97589111328125,224.64187990586353,218.05703306201306,219.6708634325821,40039000
2022-03-28,222.73915100097656,223.18743553895305,218.70455975774112,221.28471537103297,26224100
2022-03-29,228.98529052734375,230.0113697455367,224.4326739256313,225.20971969545747,31417900
2022-03-30,226.98294067382812,230.27037062059532,225.84727946295587,228.03890449437495,25588000
2022-03-31,221.5138397216797,227.6205177005303,221.41421417785642,227.58066140271146,24192300
2022-04-01,223.99435424804688,226.41509974710868,221.8525268106878,223.69549283809877,19544800
2022-04-04,232.9999542236328,233.45821042763177,225.00051280726413,225.1200512949494,28054800
2022-04-05,230.95774841308594,235.95864947461757,230.1408767596193,233.18922975067238,29727200
2022-04-06,222.4502716064453,228.1186216791445,220.56746429870935,226.04653495305175,28995100
2022-04-07,222.10157775878906,224.66180511637518,217.72828417660799,223.07784418741713,21037200
2022-04-08,221.4839630126953,224.27331113145354,219.19271222940378,221.53377578638685,18375700
2022-04-11,215.6362762451172,219.77047749486948,214.4009895465316,217.58880902593697,20516600
2022-04-12,213.32510375976562,221.18507827764452,212.31895272034433,219.40189669278448,20128800
2022-04-13,214.171875,215.7857053310566,210.52579924395397,211.01394005306048,19231800
2022-04-14,209.3801727294922,214.17188150116507,209.20086499869757,214.07225596135262,18379500
2022-04-18,209.96792602539062,212.56799436515354,207.5073243122512,209.20085197860018,16580800
2022-04-19,216.4830322265625,217.5987652428602,208.20465806296863,209.7188780141743,20089900
2022-04-20,199.65731811523438,213.34503726859575,198.1630262286513,212.79712720337065,43036500
2022-04-21,187.3543243408203,202.19761769139535,184.87379433279807,200.83283596366138,49954100
2022-04-22,183.4093780517578,191.9866136811897,182.57257828320894,189.6455504231659,36426800
2022-04-25,186.27842712402344,186.46769132270785,180.9687082701282,182.03462854997284,29281100
2022-04-26,180.2614288330078,186.4776892645861,178.81694955087553,185.91982266189157,31747400
2022-04-27,174.2842559814453,180.5204443979636,168.35690068390252,173.76623049236892,71062900
2022-04-28,204.94711303710938,207.73646098767682,192.16593435562115,202.14780861269372,100890600
2022-04-29,199.70713806152344,211.67143005778212,199.13929982786917,203.6819600949323,49193400
2022-05-02,210.3265838623047,211.07372985884027,200.22517059717276,200.4044783399937,49915300
2022-05-03,211.22314453125,214.08221823276278,207.29813528762455,209.64915520407047,41556300
2022-05-04,222.55982971191406,223.44644225995125,206.17243228319626,209.84837743131277,41375900
2022-05-05,207.48741149902344,219.33216476646174,205.3754837967292,217.90761377501096,41129200
2022-05-06,202.99456787109375,208.58321990906592,200.25503285641565,206.55097451304556,34747200
2022-05-09,195.46336364746094,201.79916238127427,194.8357561386939,199.07953997709998,36303200
2022-05-10,196.89785766601562,202.1876637890016,193.45103284392934,198.750780239985,34452500
2022-05-11,188.0217742919922,199.90636857463943,187.55356161389517,195.58288765845126,31153400
2022-05-12,190.5122528076172,197.29633531774056,184.07682927247637,186.34815164941486,38262200
