Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-01-03,179.0765838623047,179.9325724934608,174.8458979227722,174.96395910795226,104487900
2022-01-04,176.80380249023438,179.99158936284988,176.23314845059463,179.68658798247785,99310400
2022-01-05,172.10086059570312,177.26624778747964,171.82537447983776,176.71527555574892,94537600
2022-01-06,169.22793579101562,172.47475384074252,168.8737371853569,169.91665113177746,96904000
2022-01-07,169.39517211914062,171.33342326280658,168.27354584929702,170.10356923829096,86709100
2022-01-10,169.4148712158203,169.71987264285875,165.4596560671489,166.3549934911358,106765600
2022-01-11,172.25827026367188,172.3566495746992,168.06693328968436,169.5427580708883,76138300
2022-01-12,172.70106506347656,174.3244667911173,172.00251620384756,173.281552710294,74805200
2022-01-13,169.4148712158203,173.7734671157762,169.021308880232,172.9470087303428,84505800
2022-01-14,170.28070068359375,170.97924946347322,168.33260081738436,168.5785716579076,80440800
2022-01-18,167.0634002685547,169.75923111090037,166.6796863523808,168.74583243452142,90956700
2022-01-19,163.55091857910156,168.32275864245793,163.26559902458186,167.26016286506513,94815000
2022-01-20,161.858642578125,166.94531763556114,161.53395927494375,164.2888356247408,91420500
2022-01-21,159.79249572753906,163.6493165916426,159.68426796038625,161.77009582238404,122848900
2022-01-24,159.01522827148438,159.6842767816252,152.20675703204876,157.44102385932607,162294600
2022-01-25,157.20486450195312,160.13683238368577,154.48935213627462,156.4177548992897,115798400
2022-01-26,157.11631774902344,161.74056599656424,155.2764608855422,160.86491050929132,108275300
2022-01-27,156.6538848876953,161.19942048448502,155.72903227419678,159.83182343191297,121954600
2022-01-28,167.58486938476562,167.60455125731576,160.17622822742234,163.03933266223294,179935700
2022-01-31,171.96311950683594,172.17957503076116,166.77805038659238,167.41758353014143,115541600
2022-02-01,171.79586791992188,172.0221568809913,169.53293327062335,171.20553191997683,86213900
2022-02-02,173.00601196289062,173.04537569665726,170.53647062576493,171.93358291716743,84914300
2022-02-03,170.11341857910156,173.3996002497915,169.34599079704418,171.6679560130524,89418100
2022-02-04,169.82772827148438,171.5123187730984,168.14313776987035,169.1282745462075,82465400
2022-02-07,169.10858154296875,171.3645381321525,168.40912782220335,170.29074266054957,77251200
2022-02-08,172.23147583007812,172.74375119669648,168.88200154925988,169.17754560815493,74829200
2022-02-09,173.659912109375,174.02440791137533,172.30041852916588,173.43333485667165,71285000
2022-02-10,169.56173706054688,172.87179722890681,169.00021691491136,171.55171755685703,90865900
2022-02-11,166.1334228515625,170.50743142443844,165.5423349242045,169.76857903123616,98670700
2022-02-14,166.36990356445312,167.059496301351,164.08437902845532,164.88233741200816,86185500
2022-02-15,170.22178649902344,170.37941199974063,167.7195455611175,168.4288452823497,62527400
2022-02-16,169.98533630371094,170.76358766300345,167.52249461583332,169.29574363750376,61177400
2022-02-17,166.36990356445312,169.35486679359227,165.96599387855787,168.4879416203525,69589300
2022-02-18,164.8134002685547,168.0052340857905,163.71989774879913,167.29594937351246,82772700
2022-02-22,161.87767028808594,164.21243946447404,159.73991041394962,162.52784908789482,91162800
2022-02-23,157.6908416748047,163.68045969243948,157.3755907096695,163.07952569314475,90009200
2022-02-24,160.3211669921875,160.42953264062146,149.74079243125084,150.31217357463046,141147500
2022-02-25,162.39979553222656,162.66577162560156,158.4789405339572,161.40479781703053,91974200
2022-02-28,162.66578674316406,162.96133079526325,160.0157662949329,160.6364073011417,95056600
2022-03-01,160.77430725097656,164.12378106720112,159.56259331277428,162.25201230848918,83474400
2022-03-02,164.0843963623047,164.87250887287016,160.52805162347443,161.9466511360931,79724800
2022-03-03,163.75929260253906,166.3994671487369,163.08940676711282,165.96600453428687,76678400
2022-03-04,160.74478149414062,163.08941205818934,159.6906928584352,162.04516937967895,83737200
2022-03-07,156.93228149414062,162.56726469889648,156.67613632811052,160.93193414652472,96418800
2022-03-08,155.09994506835938,160.4590918337938,153.4843212668971,156.4594387052954,131148300
2022-03-09,160.52801513671875,160.9811846126907,157.04063798751446,159.0798630494071,91454900
2022-03-10,156.16387939453125,158.00608027819325,153.66162367046195,157.81890189348016,105342000
2022-03-11,152.43020629882812,156.9125815524345,152.20362905353198,156.5677776744671,96970100
2022-03-14,148.38128662109375,151.82926511007037,147.86902635433808,149.19895189517598,108732100
2022-03-15,152.78485107421875,153.25772752525916,148.1448655173351,148.6571257913053,92964300
2022-03-16,157.21795654296875,157.62186618274023,152.16421568023958,154.71571603139446,102300200
2022-03-17,158.232666015625,158.60702280515488,155.28711664114857,156.2525464840476,75615400
2022-03-18,161.54273986816406,162.03530830357425,157.38546107074248,158.12431372385774,123511700
2022-03-21,162.9219207763672,163.87750462789964,160.5871364535125,161.07970482927175,95811400
2022-03-22,166.31077575683594,166.9018487251118,162.45888786413715,163.04996083241298,81532000
2022-03-23,167.6801300048828,170.0740050516706,165.15816734052234,165.49312525419109,98062700
2022-03-24,171.4827880859375,171.55173985257596,167.68015903541058,168.51751638457037,90131400
2022-03-25,172.1230926513672,172.6747668214046,170.18237206834664,171.29558139631104,80546200
2022-03-28,172.99002075195312,173.11807830876265,169.4435224096512,169.61099385470519,90371900
2022-03-29,176.30007934570312,176.3493241575945,173.7190108396555,174.06381471485844,100589400
2022-03-30,175.12777709960938,176.940425244863,174.0736734844487,175.89618261840158,92633200
2022-03-31,172.01473999023438,175.38390609608072,171.80785464486016,175.196727695979,103049300
2022-04-01,171.71920776367188,172.28074300264421,169.38443815993526,171.44337063884205,78751300
2022-04-04,175.78781127929688,175.83707112521444,171.84726411780443,171.97533671079117,76468400
2022-04-05,172.45803833007812,175.64988683528978,171.82755140667763,174.86177442304066,73401800
2022-04-06,169.2760772705078,171.04932671722602,167.60134752771697,169.7981986309309,89058800
2022-04-07,169.58145141601562,170.7833195377172,167.32549471465475,168.61602154238474,77594700
2022-04-08,167.5619354248047,169.22681922780112,166.68516416566413,169.22681922780112,76575500
2022-04-11,163.2864532470703,166.51770131540277,163.04016900386205,166.2024653007348,72246700
2022-04-12,165.1680450439453,167.34518902716218,164.16320126523246,165.52269490513837,79265200
2022-04-13,167.86729431152344,168.4977812231989,164.2912581707364,164.90203813867376,70618900
2022-04-14,162.83326721191406,168.72439653866832,162.58698299353122,168.0840485516755,75329400
2022-04-18,162.61654663085938,164.12380480496248,161.1388413596214,161.48363023704638,69023900
2022-04-19,164.911865234375,165.32563584558537,161.47374802896798,162.56725028547083,67723800
2022-04-20,164.74440002441406,166.36988453834775,163.6312058164392,166.2516579169755,67929800
2022-04-21,163.9464569091797,168.98050632684885,163.44404257581323,166.39945283983835,87227800
2022-04-22,159.38528442382812,165.37491827853887,159.09960135126914,163.9858867436895,84882400
2022-04-25,160.4590606689453,160.74474368035393,156.10475852573447,158.7252105627672,96046400
2022-04-26,154.46946716308594,159.927118912707,154.39065440814608,159.83846020039812,95623200
2022-04-27,154.2428741455078,157.4150007741114,153.07055896241795,153.59268025761008,88063200
2022-04-28,161.207763671875,162.07468874953122,156.5677633537738,156.88301430273702,130216800
2022-04-29,155.30677795410156,163.7296988350129,154.91272932949403,159.43450268602834,131747600
2022-05-02,155.61224365234375,155.87821981335435,150.99194882060058,154.3808224298961,123055300
2022-05-03,157.10958862304688,158.32131752473302,153.99656823554054,155.7993550756251,88966500
2022-05-04,163.55239868164062,164.0055531444463,156.892864987949,157.29677464148807,108256500
2022-05-05,154.4398651123047,161.6412110723291,152.6469093299776,161.41463386897706,130525300
2022-05-06,155.1699676513672,157.30099321709514,152.1115504938457,153.91700145474738,116124600
2022-05-09,150.01998901367188,153.73941561249285,149.45764385540176,152.85148081205793,131577900
2022-05-10,152.43710327148438,154.63719664476065,150.87829859313095,153.4335628431723,115366700
2022-05-11,144.5345916748047,153.36451764343903,143.85384613812707,151.44068137940286,142689800
2022-05-12,140.6474609375,144.23862732874298,136.9379092429016,140.85465027245428,182602000
2022-05-13,145.1363983154297,146.1131220663248,141.19006162279788,142.6502019839293,113990900
2022-05-16,143.58746337890625,145.5409110091413,142.24570821302393,143.59733885589824,86643800
2022-05-17,147.23785400390625,147.76074250575596,144.71218541921027,146.86294713311494,78336300
2022-05-18,138.93080139160156,145.38305576655117,138.02313063348345,144.87990321822826,109742900
2022-05-19,135.50733947753906,139.75951476961413,134.76740136256322,138.00339618106452,136095600
2022-05-20,135.74411010742188,138.8123874278818,130.8309252366742,137.22398633811162,137426100
2022-05-23,141.19007873535156,141.33806035762905,135.80332187322705,135.94144307204655,117726300
2022-05-24,138.47694396972656,140.06534496246948,135.4875953706636,138.92090380099836,104132700
2022-05-25,138.63482666015625,139.8877778515704,136.48406511064104,136.57285408248967,92482700
2022-05-26,141.85107421875,142.40355895877516,135.30015577230265,135.5468018208196,90601500
2022-05-27,147.6324462890625,147.6719030298471,143.311203050322,143.43946380251003,90978500
2022-05-31,146.8431854248047,148.6387758545306,144.87001706901614,147.07011062465787,103718400
2022-06-01,146.71493530273438,149.7042840674564,145.6987397803345,147.8889577936666,74286600
2022-06-02,149.18141174316406,149.2406043897797,144.88976421455953,145.8467521457281,72348100
2022-06-03,143.4296112060547,145.98486058899564,142.52195557770006,144.92920830294685,88570300
2022-06-06,144.17941284179688,146.57682025024437,142.95604302742927,145.0574721682304,71598400
2022-06-07,146.71493530273438,147.00103808191767,142.16678177736554,142.41342781441574,67808200
2022-06-08,145.9750213623047,147.8593859562832,145.48172920652436,146.58669881816604,53950200
2022-06-09,140.72637939453125,145.96513944929978,140.61785452288095,145.10681595338983,69473000
2022-06-10,135.29029846191406,138.87158893198634,135.22123034078209,138.398032723083,91437900
